Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"M Tresch","Using DeepLabCut to Predict Locations of Subdermal Landmarks from Video",2022,"Biomimetic and Biohybrid Systems: 11th International …","books.google.com","https://books.google.com/books?hl=en&lr=&id=PHKfEAAAQBAJ&oi=fnd&pg=PA292&dq=deeplabcut+dlc&ots=vVV6uTmcvE&sig=972sgk_dJlIWPxzozmSqKOIqkJs","",1,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,1,2,"… Instead of training DLC models with hand-annotated frames, we train DLC models with frames that are labeled by projecting the 3D positions of skeletal landmarks obtained with …","","https://scholar.google.com/scholar?q=related:jXymS1_QE2AJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
9,"A Hardin, I Schlupp","Using machine learning and DeepLabCut in animal behavior",2022,"acta ethologica","Springer","https://link.springer.com/article/10.1007/s10211-022-00397-y","https://scholar.google.com/scholar?cites=15015221985790965111&as_sdt=2005&sciodt=2007&hl=en",2,"2024-02-14 17:48:04","","10.1007/s10211-022-00397-y","","",,,,,9,4.50,5,2,2,"… DeepLabCut is intended to be accessible to an audience without technical expertise in machine learning. The developers of DLC … their educational materials as DLC gains new features…","","https://scholar.google.com/scholar?q=related:d7W0jtfIYNAJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"D Basrai, E Andrada, J Weber, MS Fischer…","Using DeepLabCut to Predict Locations of Subdermal Landmarks from Video",2022,"… on Biomimetic and …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-20470-8_29","",3,"2024-02-14 17:48:04","","10.1007/978-3-031-20470-8_29","","",,,,,0,0.00,0,5,2,"… Instead of training DLC models with hand-annotated frames, we train DLC models with frames that are labeled by projecting the 3D positions of skeletal landmarks obtained with …","https://par.nsf.gov/servlets/purl/10424830","https://scholar.google.com/scholar?q=related:i3q24KD-HKQJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
30,"RZ Weber, G Mulders, J Kaiser…","Deep learning-based behavioral profiling of rodent stroke recovery",2022,"BMC …","bmcbiol.biomedcentral.com","https://bmcbiol.biomedcentral.com/articles/10.1186/s12915-022-01434-9","https://scholar.google.com/scholar?cites=16310205563768561767&as_sdt=2005&sciodt=2007&hl=en",4,"2024-02-14 17:48:04","HTML","10.1186/s12915-022-01434-9","","",,,,,30,15.00,8,4,2,"… One of the latest contributions to this toolbox is the open-source software DeepLabCut (DLC) [29], which uses convolutional neural networks to automatically capture movements and …","https://bmcbiol.biomedcentral.com/articles/10.1186/s12915-022-01434-9","https://scholar.google.com/scholar?q=related:Z2AGiot9WeIJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
3,"RN Tien, A Tekriwal, DJ Calame, JP Platt…","Deep learning based markerless motion tracking as a clinical tool for movement disorders: utility, feasibility and early experience",2022,"Frontiers in Signal …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/frsip.2022.884384/full","https://scholar.google.com/scholar?cites=6401770378695441233&as_sdt=2005&sciodt=2007&hl=en",5,"2024-02-14 17:48:04","HTML","10.3389/frsip.2022.884384","","",,,,,3,1.50,1,5,2,"… motion tracking methods with a focus on DeepLabCut (DLC), an open-source software … overview of DLC, discuss its present usage, and describe the advantages that DLC confers …","https://www.frontiersin.org/articles/10.3389/frsip.2022.884384/full","https://scholar.google.com/scholar?q=related:UXvCyz2o11gJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
1,"D Bühler, N Power Guerra, L Müller…","Leptin deficiency-caused behavioral change–A comparative analysis using EthoVision and DeepLabCut",2023,"Frontiers in …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fnins.2023.1052079/full","https://scholar.google.com/scholar?cites=14436935780944525509&as_sdt=2005&sciodt=2007&hl=en",6,"2024-02-14 17:48:04","HTML","10.3389/fnins.2023.1052079","","",,,,,1,1.00,0,4,1,"… All behavioral data were analyzed with both EthoVision (EV) and DeepLabCut (DLC), and statistically evaluated with GraphPad Prism and Excel. The graphic was created with …","https://www.frontiersin.org/articles/10.3389/fnins.2023.1052079/full","https://scholar.google.com/scholar?q=related:xThTRJpMWsgJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
109,"GA Kane, G Lopes, JL Saunders, A Mathis, MW Mathis","Real-time, low-latency closed-loop feedback using markerless posture tracking",2020,"Elife","elifesciences.org","https://elifesciences.org/articles/61909","https://scholar.google.com/scholar?cites=4946439901556797914&as_sdt=2005&sciodt=2007&hl=en",7,"2024-02-14 17:48:04","","","","",,,,,109,27.25,22,5,4,"… top of DeepLabCut, our software optimizes inference code and uses lightweight DeepLabCut … We compared the performance of Bonsai-DLC and DeepLabCut-Live! on a Windows 10 …","https://elifesciences.org/articles/61909.pdf","https://scholar.google.com/scholar?q=related:2nEcE-JIpUQJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
6,"ME Suryanto, F Saputra, KA Kurnia, RD Vasquez…","Using DeepLabCut as a real-time and markerless tool for cardiac physiology assessment in zebrafish",2022,"Biology","mdpi.com","https://www.mdpi.com/2079-7737/11/8/1243","https://scholar.google.com/scholar?cites=2710017909118634357&as_sdt=2005&sciodt=2007&hl=en",8,"2024-02-14 17:48:04","","","","",,,,,6,3.00,1,5,2,"… In this study, we explored the feasibility of conducting a markerless cardiac physiology assessment in zebrafish embryos by using DeepLabCut (DLC), a deep learning tool for motion …","https://www.mdpi.com/2079-7737/11/8/1243/pdf","https://scholar.google.com/scholar?q=related:dYn2F-7qmyUJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"M Goo","The Use of DLC for Markerless Tracking on the American Cockroach",2020,"","digitalcommons.unomaha.edu","https://digitalcommons.unomaha.edu/srcaf/2020/schedule/65/","",9,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,1,4,"… This is where Deeplabcut (DLC) can come in handy. DLC is a toolbox for markerless pose … With the use of DLC, we are able to track the tips of their heads and abdomen to determine …","","https://scholar.google.com/scholar?q=related:-oXlitTmqOUJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"G Chelini, T Fortunato-Asquini, O Ollari, T Pecchia…","Automated decoding the mouse body-postures in a whisker nuisance test",2022,"bioRxiv","biorxiv.org","https://www.biorxiv.org/content/10.1101/2022.11.27.518077.abstract","",10,"2024-02-14 17:48:04","","10.1101/2022.11.27.518077.abstract","","",,,,,0,0.00,0,5,2,"… Taking advantage of the new-generation software for pose estimation DeepLabCut (DLC)9,10, we tracked these hotspots during the whisker stimulation and used the output …","https://www.biorxiv.org/content/biorxiv/early/2022/11/27/2022.11.27.518077.full.pdf","https://scholar.google.com/scholar?q=related:Lrkbzp3cewMJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
