animal,value,tree
ants,1,invertebrate
bat,5,mammal
bear,2,mammal
bee,7,invertebrate
birds,1,birds
birds,12,birds
cat,5,mammal
catfish,1,fish
centipede,1,invertebrate
chameleon,1,reptile
cheetah,4,mammal
chicken,5,birds
chimpanzee,1,mammal
cockroach,1,invertebrate
cow,4,mammal
crab,1,invertebrate
crayfish,1,invertebrate
cricket,1,invertebrate
cuttlefish,1,mollusca
dog,10,mammal
dolphin,1,mammal
dragonfly,1,invertebrate
drosophila,28,invertebrate
fish,17,fish
gecko,3,reptile
goldfish,1,fish
gorilla,1,mammal
hawk,1,birds
horse,6,mammal
humans,229,mammal
insect,11,invertebrate
invertebrates,1,invertebrate
jerboa,1,mammal
larva,1,invertebrate
lizard,3,reptile
macaque,12,mammal
marmoset,9,mammal
mice,258,mammal
mole,1,mammal
monkey,5,mammal
moth,1,invertebrate
murine,2,mammal
non-animal,1,method
oposum,1,mammal
parrot,1,birds
pig,8,mammal
pigeon,1,birds
plankton,1,
plants,23,plants
primate,22,mammal
primates,1,mammal
rabbit,1,mammal
rat,57,mammal
rodent,53,mammal
sheep,1,mammal
sloth,1,mammal
snake,2,reptile
sole,1,fish
songbirds,2,birds
spider,8,invertebrate
tuna,1,fish
vole,2,mammal
wasp,1,invertebrate
wolf,1,mammal
worm,4,invertebrate
zebrafish,22,fish
